ID,Partition sizes
187,"1, 1, 1, 1, 3, 3, 5, 7, 7, 8, 19, 25, 38, 65, 72"
188,"1, 1, 1, 1, 1, 1, 2, 3, 3, 5, 15, 22, 29, 44, 55, 72"
189,"1, 1, 1, 1, 1, 2, 5, 5, 6, 15, 18, 30, 47, 54, 69"
190,"1, 1, 1, 1, 1, 2, 5, 7, 7, 15, 18, 27, 47, 55, 68"
191,"1, 1, 1, 1, 7, 19, 23, 75, 128"
192,"1, 1, 1, 1, 4, 4, 5, 9, 15, 16, 32, 47, 48, 72"
193,"1, 1, 1, 2, 2, 3, 8, 12, 14, 21, 24, 48, 53, 66"
194,"1, 1, 1, 1, 2, 2, 3, 8, 8, 18, 21, 23, 43, 54, 70"
195,"1, 1, 1, 2, 3, 5, 6, 7, 17, 21, 24, 45, 55, 68"
196,"1, 1, 1, 1, 2, 2, 3, 5, 6, 17, 29, 34, 43, 55, 56"
197,"1, 1, 1, 2, 2, 2, 3, 5, 6, 16, 24, 36, 45, 56, 56"
198,"1, 1, 1, 1, 1, 2, 2, 3, 3, 5, 19, 22, 25, 43, 55, 72"
199,"1, 1, 1, 1, 1, 1, 2, 6, 11, 16, 29, 30, 34, 56, 66"
200,"1, 1, 1, 2, 3, 3, 10, 11, 15, 15, 15, 45, 52, 82"
201,"1, 1, 2, 2, 4, 6, 10, 13, 19, 28, 48, 56, 66"
202,"1, 1, 1, 3, 3, 4, 4, 9, 11, 27, 33, 36, 55, 68"
203,"1, 1, 1, 1, 2, 3, 4, 4, 10, 11, 13, 31, 36, 67, 71"
204,"1, 1, 1, 1, 2, 2, 2, 4, 8, 13, 28, 33, 49, 52, 59"
205,"1, 1, 1, 2, 2, 2, 7, 12, 18, 21, 27, 40, 56, 66"
206,"1, 1, 1, 1, 2, 3, 6, 8, 20, 21, 39, 40, 56, 57"
207,"1, 1, 1, 1, 2, 2, 2, 2, 2, 13, 23, 37, 49, 60, 60"
208,"1, 1, 1, 1, 2, 2, 7, 12, 18, 21, 27, 39, 58, 66"
209,"1, 1, 1, 1, 3, 3, 3, 13, 19, 21, 28, 42, 47, 73"
210,"1, 3, 3, 3, 9, 11, 13, 16, 32, 48, 51, 66"
211,"1, 1, 1, 2, 4, 4, 7, 8, 10, 16, 31, 38, 66, 67"
212,"1, 1, 1, 1, 1, 1, 1, 3, 7, 9, 11, 18, 35, 37, 59, 70"
213,"1, 1, 2, 2, 2, 2, 4, 8, 17, 24, 36, 46, 53, 58"
214,"1, 1, 1, 3, 3, 3, 3, 13, 14, 19, 42, 47, 48, 58"
215,"1, 1, 1, 1, 2, 5, 6, 6, 16, 27, 31, 42, 50, 67"
216,"1, 1, 1, 3, 3, 3, 5, 7, 13, 26, 31, 38, 52, 72"
217,"1, 1, 1, 1, 1, 4, 5, 10, 15, 17, 31, 42, 62, 65"
218,"1, 1, 1, 2, 2, 2, 2, 4, 8, 9, 26, 33, 37, 58, 70"
219,"1, 1, 1, 1, 2, 4, 5, 8, 9, 24, 37, 37, 60, 66"
220,"1, 1, 1, 1, 2, 2, 3, 7, 8, 11, 17, 44, 51, 53, 54"
221,"1, 1, 1, 2, 2, 6, 8, 10, 12, 14, 20, 46, 53, 80"
222,"1, 1, 1, 1, 2, 3, 4, 8, 8, 9, 21, 23, 37, 67, 70"
223,"1, 1, 1, 1, 2, 4, 4, 6, 8, 14, 20, 25, 47, 54, 68"
224,"1, 3, 3, 6, 10, 11, 12, 15, 20, 45, 50, 80"
225,"1, 1, 1, 2, 3, 4, 4, 4, 21, 25, 35, 42, 56, 57"
226,"1, 1, 1, 1, 1, 3, 3, 6, 11, 12, 15, 31, 36, 60, 74"
227,"1, 2, 2, 2, 3, 10, 11, 12, 19, 26, 50, 50, 68"
228,"1, 1, 1, 2, 3, 3, 3, 9, 19, 20, 39, 43, 54, 58"
229,"1, 1, 1, 2, 2, 3, 3, 5, 7, 19, 20, 25, 42, 55, 70"
230,"1, 1, 1, 1, 1, 2, 3, 5, 7, 13, 28, 33, 49, 54, 57"
231,"1, 1, 1, 1, 2, 2, 3, 5, 7, 7, 14, 34, 54, 54, 70"
232,"1, 1, 2, 3, 3, 4, 5, 15, 26, 40, 44, 48, 64"
233,"1, 1, 1, 1, 2, 4, 6, 8, 13, 18, 24, 50, 57, 70"
234,"1, 1, 1, 1, 1, 1, 2, 3, 7, 7, 12, 13, 24, 48, 49, 85"
235,"1, 1, 1, 1, 1, 3, 5, 7, 9, 10, 13, 34, 47, 52, 71"
236,"1, 1, 1, 2, 2, 4, 10, 12, 14, 16, 29, 48, 48, 68"
237,"1, 1, 1, 1, 2, 2, 2, 3, 3, 5, 10, 18, 28, 49, 59, 71"
238,"1, 1, 1, 1, 1, 2, 3, 7, 8, 15, 16, 32, 45, 54, 69"
239,"1, 1, 3, 3, 6, 7, 8, 17, 19, 25, 46, 54, 66"
240,"1, 1, 1, 3, 4, 4, 6, 11, 11, 20, 23, 35, 66, 70"
241,"1, 1, 1, 1, 1, 1, 3, 7, 11, 17, 18, 27, 43, 56, 68"
242,"1, 1, 1, 2, 2, 3, 4, 4, 4, 13, 14, 29, 50, 57, 71"
243,"1, 1, 1, 2, 3, 4, 4, 5, 5, 10, 17, 27, 50, 56, 70"
244,"1, 1, 1, 1, 1, 1, 3, 4, 5, 6, 8, 25, 37, 39, 56, 67"
245,"1, 1, 1, 1, 1, 5, 5, 5, 13, 26, 41, 42, 53, 61"
246,"1, 1, 1, 1, 1, 4, 4, 6, 9, 13, 20, 23, 33, 69, 70"
247,"1, 1, 1, 1, 2, 5, 6, 9, 9, 29, 34, 38, 54, 66"
248,"1, 1, 2, 2, 2, 4, 6, 6, 17, 28, 34, 43, 54, 56"
249,"1, 1, 1, 1, 2, 3, 5, 8, 16, 18, 31, 43, 54, 72"
250,"1, 1, 1, 1, 2, 2, 3, 3, 9, 18, 19, 36, 43, 57, 60"
251,"1, 1, 1, 1, 2, 2, 3, 7, 8, 11, 17, 19, 46, 51, 86"
252,"1, 1, 1, 1, 3, 5, 7, 13, 13, 16, 34, 46, 48, 67"
253,"1, 1, 1, 6, 22, 36, 89, 100"
254,"1, 1, 1, 2, 4, 4, 5, 9, 10, 16, 22, 26, 74, 81"
255,"1, 1, 1, 1, 1, 1, 5, 5, 7, 16, 17, 29, 46, 56, 69"
256,"1, 1, 1, 1, 2, 2, 3, 5, 8, 16, 25, 37, 44, 54, 56"
257,"1, 1, 2, 2, 2, 2, 2, 3, 5, 11, 16, 44, 52, 54, 59"
258,"1, 1, 2, 2, 2, 2, 2, 3, 3, 14, 23, 30, 45, 52, 74"
259,"1, 1, 1, 1, 2, 2, 2, 4, 7, 14, 20, 32, 42, 56, 71"
260,"1, 1, 1, 1, 2, 3, 3, 3, 8, 10, 15, 21, 47, 50, 90"
261,"1, 1, 1, 1, 1, 3, 4, 6, 7, 12, 19, 28, 47, 55, 70"
262,"1, 1, 1, 1, 2, 3, 3, 4, 8, 9, 20, 26, 28, 65, 84"
263,"1, 1, 1, 1, 2, 3, 4, 5, 8, 16, 16, 30, 45, 52, 71"
264,"1, 1, 2, 2, 3, 4, 6, 10, 11, 13, 32, 49, 50, 72"
265,"1, 1, 2, 5, 12, 13, 23, 39, 50, 110"
266,"1, 1, 1, 1, 2, 4, 6, 14, 15, 21, 25, 47, 56, 62"
267,"1, 1, 1, 1, 1, 2, 3, 3, 5, 17, 21, 29, 43, 56, 72"
268,"1, 1, 1, 1, 3, 4, 8, 11, 12, 21, 24, 38, 63, 68"
269,"1, 1, 1, 2, 2, 5, 5, 7, 16, 23, 29, 40, 54, 70"
270,"1, 1, 1, 1, 1, 2, 2, 3, 3, 6, 15, 17, 29, 47, 56, 71"
271,"1, 1, 1, 2, 4, 5, 6, 9, 12, 18, 20, 43, 52, 82"
272,"1, 1, 1, 2, 4, 6, 6, 7, 10, 19, 28, 38, 63, 70"
273,"1, 1, 1, 1, 2, 2, 2, 3, 6, 10, 28, 32, 50, 58, 59"
274,"1, 1, 1, 1, 1, 3, 3, 5, 5, 18, 29, 31, 44, 55, 58"
275,"1, 1, 1, 1, 2, 2, 3, 7, 7, 10, 19, 34, 39, 59, 70"
276,"1, 1, 1, 2, 2, 2, 4, 6, 18, 29, 34, 42, 56, 58"
277,"1, 1, 1, 2, 3, 3, 5, 7, 15, 21, 39, 46, 56, 56"
278,"1, 1, 3, 3, 5, 7, 7, 11, 15, 16, 28, 79, 80"
279,"1, 1, 1, 1, 2, 4, 6, 10, 10, 19, 44, 50, 53, 54"
280,"1, 2, 3, 3, 4, 7, 8, 9, 27, 32, 38, 54, 68"
281,"1, 1, 1, 2, 2, 3, 3, 5, 7, 9, 16, 28, 40, 65, 73"
282,"1, 1, 1, 1, 2, 2, 4, 4, 10, 14, 18, 43, 48, 49, 58"
283,"1, 1, 1, 1, 1, 2, 2, 3, 5, 7, 7, 11, 35, 54, 58, 67"
284,"1, 1, 1, 1, 2, 2, 5, 6, 11, 14, 16, 18, 43, 55, 80"
285,"1, 1, 1, 1, 1, 3, 5, 7, 11, 13, 16, 17, 46, 56, 77"
286,"1, 1, 1, 1, 2, 2, 4, 6, 6, 16, 23, 38, 45, 54, 56"
287,"1, 1, 1, 3, 6, 6, 9, 21, 21, 24, 42, 54, 67"
288,"1, 1, 1, 1, 2, 2, 2, 8, 8, 14, 16, 33, 38, 60, 69"
289,"1, 1, 1, 2, 6, 6, 7, 10, 22, 41, 48, 55, 56"
290,"1, 1, 2, 2, 2, 2, 4, 10, 10, 15, 38, 47, 50, 72"
291,"1, 1, 1, 2, 2, 5, 5, 8, 14, 17, 20, 42, 54, 84"
292,"1, 1, 1, 1, 2, 2, 3, 3, 3, 5, 11, 16, 28, 51, 55, 73"
293,"1, 1, 2, 2, 2, 2, 4, 12, 13, 16, 44, 49, 50, 58"
294,"1, 1, 1, 1, 2, 5, 7, 9, 10, 17, 36, 40, 61, 65"
295,"1, 1, 1, 1, 2, 3, 3, 5, 8, 18, 19, 25, 44, 53, 72"
296,"1, 1, 1, 1, 1, 2, 4, 9, 16, 17, 44, 44, 54, 61"
297,"1, 1, 1, 1, 1, 2, 5, 7, 9, 12, 18, 33, 40, 59, 66"
298,"1, 1, 1, 1, 2, 3, 4, 6, 7, 15, 20, 25, 47, 54, 69"
299,"1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 12, 14, 30, 48, 57, 72"
300,"1, 1, 1, 1, 2, 3, 4, 11, 14, 17, 18, 46, 59, 78"
301,"1, 1, 1, 1, 2, 2, 2, 3, 4, 20, 26, 36, 42, 56, 59"
302,"1, 1, 1, 2, 4, 4, 6, 7, 10, 19, 28, 36, 67, 70"
303,"1, 1, 1, 4, 4, 4, 13, 14, 25, 34, 38, 56, 61"
304,"1, 1, 1, 1, 1, 1, 5, 7, 9, 14, 15, 31, 35, 64, 70"
305,"1, 1, 1, 2, 2, 3, 8, 9, 10, 18, 27, 50, 56, 68"
306,"1, 1, 1, 2, 2, 3, 8, 11, 11, 19, 34, 34, 59, 70"
307,"1, 1, 2, 2, 2, 3, 5, 8, 12, 17, 34, 38, 59, 72"
308,"1, 1, 1, 1, 2, 2, 2, 3, 5, 8, 10, 14, 31, 51, 54, 70"
309,"1, 1, 1, 1, 2, 4, 6, 6, 20, 21, 24, 42, 58, 69"
310,"1, 1, 1, 1, 2, 2, 9, 12, 15, 19, 28, 47, 52, 66"
311,"1, 1, 1, 1, 2, 2, 5, 7, 16, 30, 40, 42, 48, 60"
312,"1, 1, 2, 2, 2, 5, 9, 14, 27, 38, 44, 47, 64"
313,"1, 1, 1, 2, 3, 5, 7, 7, 9, 22, 24, 38, 66, 70"
314,"1, 1, 2, 2, 4, 5, 7, 7, 10, 18, 27, 38, 66, 68"
315,"1, 1, 1, 1, 1, 1, 2, 6, 9, 14, 26, 35, 48, 53, 57"
316,"1, 1, 1, 1, 2, 5, 8, 9, 11, 17, 29, 49, 52, 70"
